"year","treatment","sheet","cell","text"
"2020","AWD","Other water","A1","OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS"
"2020","AWD","Other water","A2","Date"
"2020","AWD","Other water","C2","Qin (mm)"
"2020","AWD","Other water","D2","Qout (mm)"
"2020","AWD","Other water","E2","h_lev (mm)"
"2020","AWD","Other water","F2","Rain(mm)"
"2020","AWD","Other water","G2","ETc_Adj(mm)"
"2020","AWD","Other water","H2","Delta_L (mm)"
"2020","AWD","Other water","I2","Delta_S (mm)"
"2020","AWD","Other water","J2","Perc_Bal (mm)"
"2020","AWD","Other water","K2","Qnet_meas (mm)"
"2020","AWD","Other water","L2","Perc_MODEL_havier_soil_zone (mm)"
"2020","AWD","Other water","N2","Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2). Fluxes are corrected when clear affected by errors (see paper MEDWATERICE for better explanations)."
"2020","AWD","Other water","N3","h_lev (mm) is the measured ponding water level in the parcel (average value during the day)"
"2020","AWD","Other water","N4","Rain and ETc_Adj pasted here from sheets perc_mm and ET_mm to allow an easier comparison"
"2020","AWD","Other water","N5","Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)]"
"2020","AWD","Other water","N6","Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)]"
"2020","AWD","Other water","N7","Qnet_meas (mm) is the net irrigation (i.e. Qin-Qout) obtained by the measured Qin and Qout (mm)"
"2020","AWD","Other water","N8","Qnet_MODEL (mm) is the net irrigation (i.e. Qin-Qout) obtained by inverting the distributed Darcy model (i.e. it is the net water supply needed to close the balance; once the soil characteristics have been calibrated and Perc_MODEL has been simulated)"
"2020","AWD","Other water","N9","Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with the distributed Darcy model (see MEDWATERICE paper for better explanations)."
"2020","AWD","Other water","N10","Perc_Bal (mm) percolation obtained from the water balance (Qnet_meas +Rain -Etc_Adj -Delta_L -Delta_S)"
"2020","AWD","Other water","N11","Perc_MODEL_havier_soil (mm) percolation obtained by the distributed Darcy model considering only the zone having low Ks (Ks is obtained by calibration, objective was a proxy of the difference between Qnet_model and Qnet_meas)"
"2020","DFL","Other water","A1","OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS"
"2020","DFL","Other water","A2","Date"
"2020","DFL","Other water","C2","Qin (mm)"
"2020","DFL","Other water","D2","Qout (mm)"
"2020","DFL","Other water","E2","h_lev (mm)"
"2020","DFL","Other water","F2","Rain(mm)"
"2020","DFL","Other water","G2","ETc_Adj(mm)"
"2020","DFL","Other water","J2","Perc_Bal (mm)"
"2020","DFL","Other water","K2","Qnet_meas (mm)"
"2020","DFL","Other water","L2","Perc_MODEL_havier_soil_zone (mm)"
"2020","DFL","Other water","N2","Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2). Fluxes are corrected when clear affected by errors (see paper MEDWATERICE for better explanations)."
"2020","DFL","Other water","N3","h_lev (mm) is the measured ponding water level in the parcel (average value during the day)"
"2020","DFL","Other water","N4","Rain and ETc_Adj pasted here from sheets perc_mm and ET_mm to allow an easier comparison"
"2020","DFL","Other water","N5","Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)]"
"2020","DFL","Other water","N6","Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)]"
"2020","DFL","Other water","N7","Qnet_meas (mm) is the net irrigation (i.e. Qin-Qout) obtained by the measured Qin and Qout (mm)"
"2020","DFL","Other water","N8","Qnet_MODEL (mm) is the net irrigation (i.e. Qin-Qout) obtained by inverting the distributed Darcy model (i.e. it is the net water supply needed to close the balance; once the soil characteristics have been calibrated and Perc_MODEL has been simulated)"
"2020","DFL","Other water","N9","Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with the distributed Darcy model (see MEDWATERICE paper for better explanations)."
"2020","DFL","Other water","N10","Perc_Bal (mm) percolation obtained from the water balance (Qnet_meas +Rain -Etc_Adj -Delta_L -Delta_S)"
"2020","DFL","Other water","N11","Perc_MODEL_havier_soil (mm) percolation obtained by the distributed Darcy model considering only the zone having low Ks (Ks is obtained by calibration, objective was a proxy of the difference between Qnet_model and Qnet_meas)"
"2020","WFL","Other water","A1","OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS"
"2020","WFL","Other water","A2","DATE"
"2020","WFL","Other water","B2","Qin (mm)"
"2020","WFL","Other water","C2","Qout (mm)"
"2020","WFL","Other water","D2","h_lev (mm)"
"2020","WFL","Other water","E2","Rain(mm)"
"2020","WFL","Other water","F2","ETc_Adj(mm)"
"2020","WFL","Other water","G2","Delta_L (mm)"
"2020","WFL","Other water","H2","Delta_S (mm)"
"2020","WFL","Other water","I2","Perc_Bal (mm)"
"2020","WFL","Other water","J2","Qnet_meas (mm)"
"2020","WFL","Other water","K2","Perc_MODEL_havier_soil_zone (mm)"
"2020","WFL","Other water","M2","Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2). Fluxes are corrected when clear affected by errors (see paper MEDWATERICE for better explanations)."
"2020","WFL","Other water","M3","h_lev (mm) is the measured ponding water level in the parcel (average value during the day)"
"2020","WFL","Other water","M4","Rain and ETc_Adj pasted here from sheets perc_mm and ET_mm to allow an easier comparison"
"2020","WFL","Other water","M5","Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)]"
"2020","WFL","Other water","M6","Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)]"
"2020","WFL","Other water","M7","Qnet_meas (mm) is the net irrigation (i.e. Qin-Qout) obtained by the measured Qin and Qout (mm)"
"2020","WFL","Other water","M8","Qnet_MODEL (mm) is the net irrigation (i.e. Qin-Qout) obtained by inverting the distributed Darcy model (i.e. it is the net water supply needed to close the balance; once the soil characteristics have been calibrated and Perc_MODEL has been simulated)"
"2020","WFL","Other water","M9","Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with the distributed Darcy model (see MEDWATERICE paper for better explanations)."
"2020","WFL","Other water","M10","Perc_Bal (mm) percolation obtained from the water balance (Qnet_meas +Rain -Etc_Adj -Delta_L -Delta_S)"
"2020","WFL","Other water","M11","Perc_MODEL_havier_soil (mm) percolation obtained by the distributed Darcy model considering only the zone having low Ks (Ks is obtained by calibration, objective was a proxy of the difference between Qnet_model and Qnet_meas)"
"2019","AWD","Yield+product","A1","YIELD AND PRODUCT QUALITY"
"2019","AWD","Yield+product","A2","Date"
"2019","AWD","Yield+product","B2","Plot"
"2019","AWD","Yield+product","D2","Rice grain yield at 14% humidity (t/ha)"
"2019","AWD","Yield+product","E2","Straw yield if sold (t/ha)"
"2019","AWD","Yield+product","F2","Yield comp
Nº panic/m2"
"2019","AWD","Yield+product","G2","Yield comp
Nº of grains by panicle"
"2019","AWD","Yield+product","H2","Yield comp
Weight of 1000 grains at 14% hum (g)"
"2019","AWD","Yield+product","I2","Yield comp Harvest Index
"
"2019","AWD","Yield+product","J2","Yield comp
Sterility (%)"
"2019","AWD","Yield+product","K2","Milled rice yield (%)"
"2019","AWD","Yield+product","L2","Head rice yield (%)"
"2019","AWD","Yield+product","M2","Yield comp
Chalkiness (%)"
"2019","AWD","Yield+product","N2","Yield comp
Damaged kernels (%)"
"2019","AWD","Yield+product","Q2","MMA(V) μg kg-1"
"2019","AWD","Yield+product","T2","Cadmium of rice grain (μg kg-1)"
"2019","AWD","Yield+product","U2","N % content (grain)"
"2019","DFL","Yield+product","A1","YIELD AND PRODUCT QUALITY"
"2019","DFL","Yield+product","A2","Date"
"2019","DFL","Yield+product","B2","Plot"
"2019","DFL","Yield+product","D2","Rice grain yield at 14% humidity (t/ha)"
"2019","DFL","Yield+product","E2","Straw yield if sold (t/ha)"
"2019","DFL","Yield+product","F2","Yield comp
Nº panic/m2"
"2019","DFL","Yield+product","G2","Yield comp
Nº of grains by panicle"
"2019","DFL","Yield+product","H2","Yield comp
Weight of 1000 grains at 14% hum (g)"
"2019","DFL","Yield+product","I2","Yield comp Harvest Index
"
"2019","DFL","Yield+product","J2","Yield comp
Sterility (%)"
"2019","DFL","Yield+product","K2","Milled rice yield (%)"
"2019","DFL","Yield+product","L2","Head rice yield (%)"
"2019","DFL","Yield+product","M2","Yield comp
Chalkiness (%)"
"2019","DFL","Yield+product","N2","Yield comp
Damaged kernels (%)"
"2019","DFL","Yield+product","Q2","MMA(V) μg kg-1"
"2019","DFL","Yield+product","T2","Cadmium of rice grain (μg kg-1)"
"2019","DFL","Yield+product","U2","N % content (grain)"
"2019","WFL","Yield+product","A1","YIELD AND PRODUCT QUALITY"
"2019","WFL","Yield+product","A2","Date"
"2019","WFL","Yield+product","B2","Plot"
"2019","WFL","Yield+product","D2","Rice grain yield at 14% humidity (t/ha)"
"2019","WFL","Yield+product","E2","Straw yield if sold (t/ha)"
"2019","WFL","Yield+product","F2","Yield comp
Nº panic/m2"
"2019","WFL","Yield+product","G2","Yield comp
Nº of grains by panicle"
"2019","WFL","Yield+product","H2","Yield comp
Weight of 1000 grains at 14% hum (g)"
"2019","WFL","Yield+product","I2","Yield comp Harvest Index
"
"2019","WFL","Yield+product","J2","Yield comp
Sterility (%)"
"2019","WFL","Yield+product","K2","Milled rice yield (%)"
"2019","WFL","Yield+product","L2","Head rice yield (%)"
"2019","WFL","Yield+product","M2","Yield comp
Chalkiness (%)"
"2019","WFL","Yield+product","N2","Yield comp
Damaged kernels (%)"
"2019","WFL","Yield+product","Q2","MMA(V) μg kg-1"
"2019","WFL","Yield+product","T2","Cadmium of rice grain (μg kg-1)"
"2019","WFL","Yield+product","U2","N % content (grain)"
"2020","AWD","Yield+product","A1","YIELD AND PRODUCT QUALITY"
"2020","AWD","Yield+product","A2","Date"
"2020","AWD","Yield+product","B2","Plot"
"2020","AWD","Yield+product","D2","Rice grain yield at 14% humidity (t/ha)"
"2020","AWD","Yield+product","E2","Straw yield if sold (t/ha)"
"2020","AWD","Yield+product","F2","Yield comp
Nº panic/m2"
"2020","AWD","Yield+product","G2","Yield comp
Nº of grains by panicle"
"2020","AWD","Yield+product","H2","Yield comp
Weight of 1000 grains at 14% hum (g)"
"2020","AWD","Yield+product","I2","Yield comp Harvest Index
"
"2020","AWD","Yield+product","J2","Yield comp
Sterility (%)"
"2020","AWD","Yield+product","K2","Milled rice yield (%)"
"2020","AWD","Yield+product","L2","Head rice yield (%)"
"2020","AWD","Yield+product","M2","Yield comp
Chalkiness (%)"
"2020","AWD","Yield+product","N2","Yield comp
Damaged kernels (%)"
"2020","AWD","Yield+product","Q2","MMA(V) μg kg-1"
"2020","AWD","Yield+product","T2","Cadmium of rice grain (μg kg-1)"
"2020","AWD","Yield+product","U2","N % content (grain)"
"2020","DFL","Yield+product","A1","YIELD AND PRODUCT QUALITY"
"2020","DFL","Yield+product","A2","Date"
"2020","DFL","Yield+product","B2","Plot"
"2020","DFL","Yield+product","D2","Rice grain yield at 14% humidity (t/ha)"
"2020","DFL","Yield+product","E2","Straw yield if sold (t/ha)"
"2020","DFL","Yield+product","F2","Yield comp
Nº panic/m2"
"2020","DFL","Yield+product","G2","Yield comp
Nº of grains by panicle"
"2020","DFL","Yield+product","H2","Yield comp
Weight of 1000 grains at 14% hum (g)"
"2020","DFL","Yield+product","I2","Yield comp Harvest Index
"
"2020","DFL","Yield+product","J2","Yield comp
Sterility (%)"
"2020","DFL","Yield+product","K2","Milled rice yield (%)"
"2020","DFL","Yield+product","L2","Head rice yield (%)"
"2020","DFL","Yield+product","M2","Yield comp
Chalkiness (%)"
"2020","DFL","Yield+product","N2","Yield comp
Damaged kernels (%)"
"2020","DFL","Yield+product","Q2","MMA(V) μg kg-1"
"2020","DFL","Yield+product","T2","Cadmium of rice grain (μg kg-1)"
"2020","DFL","Yield+product","U2","N % content (grain)"
"2020","WFL","Yield+product","A1","YIELD AND PRODUCT QUALITY"
"2020","WFL","Yield+product","A2","Date"
"2020","WFL","Yield+product","B2","Plot"
"2020","WFL","Yield+product","D2","Rice grain yield at 14% humidity (t/ha)"
"2020","WFL","Yield+product","E2","Straw yield if sold (t/ha)"
"2020","WFL","Yield+product","F2","Yield comp
Nº panic/m2"
"2020","WFL","Yield+product","G2","Yield comp
Nº of grains by panicle"
"2020","WFL","Yield+product","H2","Yield comp
Weight of 1000 grains at 14% hum (g)"
"2020","WFL","Yield+product","I2","Yield comp Harvest Index
"
"2020","WFL","Yield+product","J2","Yield comp
Sterility (%)"
"2020","WFL","Yield+product","K2","Milled rice yield (%)"
"2020","WFL","Yield+product","L2","Head rice yield (%)"
"2020","WFL","Yield+product","M2","Yield comp
Chalkiness (%)"
"2020","WFL","Yield+product","N2","Yield comp
Damaged kernels (%)"
"2020","WFL","Yield+product","Q2","MMA(V) μg kg-1"
"2020","WFL","Yield+product","T2","Cadmium of rice grain (μg kg-1)"
"2020","WFL","Yield+product","U2","N % content (grain)"
